,Unnamed: 0,State,Incident ID,# Killed,# Injured,Operations,Danger Score,Number_Of_Shootings,Danger Score Normalized,Population,Unnamed: 10,Shooting_Per_Capita,Danger Score_Before,Danger Score After,Shooting_Per_Capita_Normalized,# Killed_Normalized,# Injured_Normalized,Danger Score Normalization
28,28,Mississippi,92114305,55,179,0,289.0,45,0.3542885028074132,2961279.0,,1.5196136534247533e-05,289,289.00001519613653,0.30818882254434454,0.2722772277227723,0.187434554973822,1.0401778329637112
36,36,Michigan,148872130,72,268,0,412.0,72,0.3877434537519031,10077331.0,,7.144748941956952e-06,412,412.00000714474896,0.14490076203475608,0.3564356435643564,0.2806282722513089,1.1384003214147778
34,34,South Carolina,120199870,64,266,0,394.0,59,0.3903227696769703,5118425.0,,1.1526983398213318e-05,394,394.00001152698337,0.233775699038853,0.31683168316831684,0.27853403141361255,1.1459730967890993
35,35,North Carolina,135488338,79,248,0,406.0,66,0.39853474255874016,10439388.0,,6.322209692752104e-06,406,406.0000063222097,0.1282190612526103,0.3910891089108911,0.25968586387434556,1.1700831429487382
41,41,New York,216533696,59,461,0,579.0,106,0.39962973824024034,20201249.0,,5.247200309248206e-06,579,579.0000052472003,0.10641708050707513,0.29207920792079206,0.4827225130890052,1.1732980094376646
38,38,Ohio,159466932,70,337,0,477.0,78,0.40191731766367483,11799448.0,,6.610478727479455e-06,477,477.00000661047875,0.13406536923940648,0.3465346534653465,0.35287958115183243,1.1800142573219319
37,37,Georgia,147399458,79,277,0,435.0,70,0.4103460798751552,10711908.0,,6.534783532494864e-06,435,435.00000653478355,0.1325302150268874,0.3910891089108911,0.2900523560209424,1.2047607888696121
40,40,Pennsylvania,216751702,65,437,0,567.0,105,0.43083922685373455,13002700.0,,8.07524591046475e-06,567,567.0000080752459,0.16377192474504165,0.3217821782178218,0.45759162303664924,1.2649279042173345
42,42,Florida,212171091,83,463,0,629.0,103,0.4780665424778715,21538187.0,,4.782203813162175e-06,629,629.0000047822039,0.09698660965726212,0.41089108910891087,0.4848167539267016,1.4035855418017853
24,24,District of Columbia,69908507,25,158,0,208.0,34,0.4812628490311706,689545.0,,4.93078769333401e-05,208,208.00004930787694,1.0,0.12376237623762376,0.16544502617801046,1.412969778653258
39,39,Louisiana,189491711,59,424,0,542.0,92,0.4866282807640505,4657757.0,,1.975199650819053e-05,542,542.0000197519965,0.4005850127129482,0.29207920792079206,0.44397905759162304,1.4287224861461554
43,43,California,290120389,185,531,0,901.0,140,0.8377203494938558,39538223.0,,3.5408773935034966e-06,901,901.0000035408774,0.07181159712656966,0.9158415841584159,0.556020942408377,2.4595157078517786
44,44,Texas,301867629,202,575,0,979.0,145,0.9206491838506626,29145505.0,,4.97503817484034e-06,979,979.0000049750382,0.10089743230206713,1.0,0.6020942408376964,2.702991673139764
45,45,Illinois,441267517,161,955,0,1277.0,216,1.0,12812508.0,,1.6858526059066656e-05,1277,1277.0000168585261,0.3419033044529152,0.7970297029702971,1.0,2.9359627103935093
